Sno,Date,Open,High,Low,Close,Volume,SMA Open,SMA Close,RS,RSI
111,01-01-2021,2880,2940,2879,2928.25,2681440,2656.460711,2658.239275,1.999308476,66.6589813
112,04-01-2021,2950,3050.75,2940.949951,3039.449951,5113293,2662.032139,2667.564279,2.670120899,72.75294118
113,05-01-2021,3039.600098,3114.25,3039.600098,3093,5801309,2673.746425,2687.414272,4.052022579,80.20594753
114,06-01-2021,3100,3113.5,3037.199951,3051.5,3726716,2692.360718,2707.328561,2.58094533,72.0744131
115,07-01-2021,3075,3080.850098,3000.25,3032.800049,3717827,2713.003575,2722.564279,2.152843848,68.282603
116,08-01-2021,3090,3128,3060,3120.899902,5879039,2727.789289,2734.835711,2.539690915,71.74894577
117,11-01-2021,3230,3230,3146.550049,3176.449951,9508039,2744.146432,2756.317854,3.784682965,79.09997366
118,12-01-2021,3176.449951,3210,3150,3174.850098,3611458,2772.432146,2778.028564,3.333852223,76.92583991
119,13-01-2021,3175,3177,3126.25,3158.949951,3572801,2793.889282,2797.035714,2.720178999,73.119573
120,14-01-2021,3155,3266.5,3120.399902,3250.699951,6931542,2812.889282,2814.864275,3.346854368,76.99485846
121,15-01-2021,3235,3274,3210,3233.350098,4131692,2830.389282,2837.814279,2.867018194,74.140282
122,18-01-2021,3250,3256.75,3187.399902,3221.75,4160906,2852.889282,2859.446429,2.670012407,72.75213571
123,19-01-2021,3233,3279,3232,3260.699951,2975735,2875.432146,2881.764282,3.293733776,76.71024679
124,20-01-2021,3270,3327.949951,3267.100098,3308.800049,3453446,2899.217861,2910.189279,5.182376547,83.8249904
125,21-01-2021,3305,3309.149902,3262.100098,3273.850098,2778546,2927.075004,2937.371425,3.440681192,77.48093239
126,22-01-2021,3241.899902,3325,3241.899902,3303.100098,3052459,2952.432146,2954.114293,2.861938,74.10626478
127,25-01-2021,3308.949951,3339.800049,3278.649902,3291.300049,2272887,2966.882132,2969.121443,2.292699972,69.62978685
128,27-01-2021,3300,3306.449951,3227,3261.050049,2786662,2981.807129,2986.250018,2.474148389,71.21596754
129,28-01-2021,3230,3275,3183.800049,3196.550049,3083938,2997.878557,3002.553589,1.871242579,65.17187341
130,29-01-2021,3210.050049,3216.850098,3100,3111.350098,5445659,3007.878557,3007.957171,0.96503823,49.11040484
131,01-02-2021,3100,3165,3044.100098,3139.350098,3985846,3006.453561,3003.307181,0.864177681,46.35704472
132,02-02-2021,3174,3224,3150,3203.449951,2881837,3000.99285,3000.771467,1.105320743,52.50129923
133,03-02-2021,3213,3236,3162.649902,3200.050049,2505866,3000.921422,3003.950039,1.158657128,53.6749034
134,04-02-2021,3216.050049,3237.850098,3176,3188.449951,2057261,3005.064279,3000.332188,0.769998069,43.50276323
135,05-02-2021,3198.949951,3205.850098,3129,3157.949951,2366135,3003.710711,2997.125035,0.734319471,42.34049629
136,08-02-2021,3189.5,3226,3155.149902,3214.100098,2526592,3000.064279,2992.567889,0.97189602,49.28738687
137,09-02-2021,3195,3245.800049,3164,3176.899902,2658751,2996.957136,2989.239328,0.72915317,42.16822331
138,10-02-2021,3185,3219.399902,3157.300049,3213.300049,2127983,2991.599993,2979.817889,0.69133822,40.87522011
139,11-02-2021,3215,3219.300049,3185.050049,3206,1165882,2983.028564,2975.492885,0.759183535,43.15544796
140,12-02-2021,3184.199951,3245.5,3182,3190.800049,2777404,2981.107143,2968.557164,0.62182194,38.34095006
141,15-02-2021,3209,3209,3131.550049,3139.850098,2630853,2972.196429,2961.378592,0.54939034,35.4584849
142,16-02-2021,3150,3167.649902,3100,3108.800049,3435770,2965.696429,2952.721453,0.548085683,35.40409221
143,17-02-2021,3105.100098,3132.850098,3045.550049,3073.100098,3678426,2959.982143,2946.453596,0.59931869,37.47337498
144,18-02-2021,3065,3097.899902,3031,3057.350098,4189909,2952.485718,2943.721453,0.773727355,43.62154943
145,19-02-2021,3058,3087.149902,3016.149902,3071.850098,3725028,2949.985718,2937.86431,0.717159194,41.76428116
146,22-02-2021,3096,3096,2943.149902,2958.449951,5366696,2941.700004,2928.464321,0.304076707,23.31739423
147,23-02-2021,2970,3028,2968,2980.199951,3832829,2933.342861,2911.207171,0.369425353,26.97666959
148,24-02-2021,2972,3003.350098,2921.149902,2948.100098,3774549,2915.767857,2896.332171,0.348910315,25.86608694
149,25-02-2021,2974,3029.899902,2968.449951,2995.300049,4224073,2899.557146,2881.342896,0.519711114,34.1980202
150,26-02-2021,2960,2972.350098,2880,2894.300049,5553153,2884.164289,2865.714321,0.272603339,21.42091966
151,01-03-2021,2926,2965,2901.800049,2924.199951,3265871,2867.378575,2845.528617,0.372095958,27.11879994
152,02-03-2021,2960,3025,2948,3006.350098,3306469,2848.878575,2824.87861,0.48577469,32.69504407
153,03-03-2021,3035,3064,2996.899902,3059.100098,3509857,2830.664289,2810.617903,0.628242595,38.58409043
154,04-03-2021,3023,3081.449951,3016.050049,3049.699951,3916760,2820.00715,2801.210763,0.637600969,38.93506302
155,05-03-2021,3016.100098,3063.199951,2996.600098,3008.050049,3203686,2806.721436,2794.771467,0.653203442,39.51137683
156,08-03-2021,3016,3033,2996,3006.949951,2003125,2797.157157,2787.575039,0.709082921,41.48908822
157,09-03-2021,3006.949951,3066.899902,2992.100098,3050.949951,1942397,2790.792864,2782.850028,0.929547911,48.17438872
158,10-03-2021,3075,3093.199951,3060,3070.949951,3053778,2786.646432,2782.392875,1.045537741,51.1130995
159,12-03-2021,3075,3117,3041.350098,3057.949951,2938317,2787.860718,2782.328578,0.955398234,48.85952218
160,15-03-2021,3041,3099,3041,3066.149902,3097083,2786.360718,2789.435721,1.543253221,60.68028178
161,16-03-2021,3060,3141,3060,3110.050049,4894756,2791.432146,2795.575004,1.654981579,62.33495524
162,17-03-2021,3105,3155,3085.300049,3112.949951,3838390,2797.717861,2807.142857,1.992173982,66.57948348
163,18-03-2021,3125.949951,3146.449951,2987.050049,3036.5,3656306,2807.075004,2815.546422,1.169826605,53.91336811
164,19-03-2021,3030,3099,3005,3050.199951,5776626,2818.928571,2825.703561,2.100987247,67.75220533
165,22-03-2021,3048.699951,3139.449951,3018.649902,3129.649902,2821646,2826.357143,2834.703561,2.450916728,71.02219269
166,23-03-2021,3140,3169,3122.850098,3142.600098,3305973,2832.692854,2843.51069,1.962216849,66.24149915
167,24-03-2021,3111.199951,3152.300049,3111.149902,3121.100098,2207104,2840.192854,2849.474976,1.380134658,57.98557041
168,25-03-2021,3112.199951,3130.850098,3050,3064.850098,3179786,2846.49285,2854.574986,1.072160755,51.74119587
169,26-03-2021,3090.649902,3118,3043.050049,3066.800049,3697370,2853.357125,2858.632132,1.349078924,57.43012336
170,30-03-2021,3083,3188.449951,3060.899902,3158.550049,4694008,2858.689261,2862.907139,1.906699416,65.5967179
171,31-03-2021,3155,3205,3132,3177.850098,3530069,2864.121408,2870.592861,1.758972394,63.75462102
172,01-04-2021,3191.100098,3215,3145,3165,4285076,2869.835693,2878.228585,1.522355032,60.35451047
173,05-04-2021,3171,3263,3151,3238.899902,5317862,2878.128557,2885.875018,2.08320801,67.56624928
174,06-04-2021,3275,3275,3230,3264.699951,2291562,2887.414272,2898.214303,2.188566242,68.63794182
175,07-04-2021,3259,3277.550049,3234.800049,3271.399902,2491268,2902.771415,2909.260725,1.965877317,66.28316369
176,08-04-2021,3270,3335,3266.050049,3317.350098,2578118,2913.771415,2920.578578,2.223586274,68.9786494
177,09-04-2021,3354,3354.350098,3308,3322.25,2911129,2924.060704,2940.6393,4.1539701,80.59748154
178,12-04-2021,3322.25,3338.100098,3213.199951,3246.550049,3791828,2947.203561,2960.071446,2.180697776,68.56035781
179,13-04-2021,3214,3214,3073.050049,3104.050049,8654596,2966.74285,2968.421457,0.917098935,47.83785115
180,15-04-2021,3160.300049,3237.25,3087.449951,3218.949951,6062760,2972.028564,2965.667882,1.247246894,55.50110659
181,16-04-2021,3229,3247,3182.600098,3195.149902,3224657,2975.535714,2972.657157,1.238025653,55.31775971
182,19-04-2021,3169,3189,3135.100098,3161.800049,2679106,2983.878575,2981.964286,1.336398221,57.19907716
183,20-04-2021,3225,3225.350098,3126.350098,3144.550049,3141893,2989.475011,2988.75,1.254542519,55.64510354
184,22-04-2021,3148,3148,3105.25,3118.800049,1988980,2999.617868,2987.75,0.879981866,46.80799757
185,23-04-2021,3105,3119,3091.050049,3109.5,1615309,2999.117868,2983.532139,0.799265498,44.42176537
186,26-04-2021,3102.050049,3153,3088.050049,3100.800049,2490260,2992.967861,2979.567854,0.809127459,44.72473485
187,27-04-2021,3106,3136.100098,3103,3132,1471417,2988.042864,2969.703578,0.682176457,40.5532044
188,28-04-2021,3149.949951,3151,3112,3124.100098,1639037,2975.971436,2960.225011,0.591576026,37.16919684
189,29-04-2021,3145.600098,3157.350098,3105.5,3115.25,1621395,2968.182146,2949.703596,0.557774095,35.80583968
190,30-04-2021,3099,3132.050049,3020,3035.649902,3072305,2959.296439,2935.267875,0.348971047,25.86942454
191,03-05-2021,3024.899902,3055,3004,3037,1545831,2941.082153,2914.796439,0.340767201,25.41583658
